id,name,length,area,avg_temp
1,Nile–White Nile–Blue Nile,6650,3254555,27.5
2,Amazon–Ucayali–Tambo–Ene–Mantaro,6575,7050000,26
3,Yangtze,6300,1808500,17
4,Mississippi–Missouri–Jefferson–Beaverhead–Red Rock–Hell Roaring,6275,2980000,17.5
5,Yenisei–Angara–Selenge–Ider,5539,2580000,-2.5
6,Yellow River,5464,752546,11.5
7,Ob–Irtysh,5410,2990000,2.5
8,Río de la Plata–Paraná–Rio Grande,4880,3100000,18.5
9,Congo–Chambeshi,4700,4014500,24
10,Amur–Argun,4480,1855000,-2.5
11,Lena,4400,2490000,-5
12,Mekong–Lancang,4350,795000,25
13,Mackenzie,4241,1740000,5
14,Niger,4180,2092000,27.5
15,Brahmaputra–Tsangpo,3960,651335,20
16,Murray–Darling,3750,1061469,22.5
17,Tocantins,3650,967059,26
18,Volga,3645,1360000,2.5
19,Shatt al-Arab–Euphrates–Tigris,3600,879790,22.5
20,Purús,3379,371042,26
21,Madeira–Mamoré–Grande–Caine–Rocha,3379,850000,26
22,Yukon,3190,832700,2.5
23,Indus,3180,1155000,15
24,São Francisco,3150,641000,22.5
25,Saint Lawrence–Great Lakes,3058,1344200,5
26,Rio Grande,3057,558000,20
27,Syr Darya–Naryn,3019,219000,7.5
28,Salween,2990,271914,22.5
29,Lower Tunguska,2989,488000,-2.5
30,Danube,2860,817000,10
31,Chishui,2860,142936,15
32,Zambezi,2734,1390000,22.5
33,Vilyuy,2646,491000,-2.5
34,Amu Darya,2620,534739,15
35,Nelson–Saskatchewan,2575,1070000,5
36,Ganges,2525,1000000,20
37,Kolyma,2513,643000,-7.5
38,Ural,2428,231000,2.5
39,Arkansas,2349,505000,20
40,Colorado,2330,637137,20
41,Olenek,2292,210000,-7.5
42,Dnieper,2285,504000,7.5
43,Khatanga,2278,364000,-7.5
44,Rio Negro,2250,691000,26
45,Irrawaddy,2170,413710,25
46,Orinoco,2140,880000,27.5
47,Tapajós,2100,487103,26
48,Columbia–Snake,2000,668217,12.5
49,Xingu,1980,531250,26
50,Tigris,1850,375000,25
51,Uruguay,1838,385000,17.5
52,Pechora,1809,322000,-2.5
53,Limpopo,1800,415000,25
54,Guaporé,1750,351750,27.5
55,Churchill,1690,287000,-2.5
56,Beni,1580,200000,26
57,Magdalena,1550,257438,22.5
58,Godavari,1465,312812,27.5
59,Blue Nile,1450,3254555,25
60,Sutlej,1450,395000,17.5
61,Han,1416,2638,17.5
62,Fraser,1375,23300,5
63,Teles Pires,1370,141830,26
64,Red River,1360,242500,25
65,Dniester,1352,72100,10
66,Liao,1345,219000,12.5
67,Trombetas,1300,133630,26
68,Rhine,1233,185000,10
69,Kuskokwim,1165,118000,0
70,Desna,1130,88900,10
71,Vychegda,1130,121000,-2.5
72,Sepik,1126,77995,27.5
73,Liard,1115,277100,5
74,Aras,1072,102000,17.5
75,Seversky Donets,1053,98800,12.5
76,Vistula,1047,194424,10
77,Loire,1020,117054,12.5
78,Tagus,1007,80900,15
79,Neman,937,98200,10
80,Meuse,925,36577,15
81,Sanaga,918,133000,27.5
82,Ebro,910,85262,15
83,Barito,900,70000,27.5
84,Douro,897,97280,15
85,Red River of the North,885,289500,0
86,Mahanadi,858,141600,27.5
87,Seine,777,78500,15
88,Mures,768,28500,10
89,Drava,725,40926,10
90,Po,652,74000,15
91,Shinano,367,1191,15
92,Neva,74,281000,2.5